source,binarize,gt,lt,vol,k,double_positive_labels,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,0.0,20.0,0,9,False,False,True,23,9,2,3,3,100,0.0001,L1,0.01,1.47,0.06,1.24,-0.000487307861221,0.00309158249158,3.0,0.66
GQ,True,0.0,5.0,100,89,True,True,True,35,89,2,61,61,100,0.0001,L2,0.1,1.96,0.02,0.02,-0.00016346320346299998,2.29797979798e-05,92.0,0.02
GQ,True,1.0,5.0,100,93,True,True,True,35,93,2,18,18,100,0.001,L1,0.01,1.71,0.12,1.18,-0.0010821356421400002,0.0044595959596,15.0,0.65
GQ,True,0.0,50.0,1000,20,True,True,True,48,20,2,3,3,100,0.1,L2,0.01,1.94,0.22,1.81,-0.00198345959596,0.008818686868690001,5.0,0.71
GQ,True,1.0,20.0,0,21,False,True,True,3,21,2,8,8,100,1.0,L1,0.001,0.96,1.25,,-0.00555420875421,,-inf,inf
GQ,True,2.0,20.0,1000,66,True,False,True,24,66,2,36,36,100,0.001,L2,0.001,1.56,0.16,1.72,-0.00141498316498,0.0074340067340099986,17.0,0.84
GQ,True,2.0,20.0,100,23,False,True,True,3,23,2,17,17,100,0.0001,L1,0.001,1.01,0.15,,-0.0003,,-inf,inf
GQ,True,1.0,20.0,0,84,True,True,True,44,84,2,50,50,100,0.001,L2,0.001,2.28,0.07,3.1,-0.0005651285583099999,0.00833164983165,5.0,1.33
GQ,True,2.0,50.0,1000,46,False,False,True,13,46,2,1,1,100,1.0,L1,0.1,1.32,0.03,2.29,-0.000269541569542,0.00498232323232,-inf,inf
GQ,True,0.0,20.0,0,90,True,True,True,44,90,2,75,75,100,0.0001,L1,0.001,2.85,0.11,3.11,-0.00101662075298,0.012004208754200002,-inf,inf
GQ,True,1.0,50.0,1000,57,False,False,True,23,57,2,11,11,100,1.0,L2,0.0001,1.42,0.84,0.82,-0.00304378568292,-0.00291414141414,99.0,0.82
GQ,True,0.0,5.0,100,89,True,False,True,34,89,2,61,61,80,0.0001,L2,0.1,1.58,0.03,0.03,-0.000371649292628,-0.000323971518987,79,0.03
